SUMMARY,Unnamed: 3,Unnamed: 4,ZWL,USD ,Date
GL ACC,2200600002.0,Consumables,318746822.5405333,2210346.919357055,1995-01-01
GL ACC,3112210001.0,ICT Equipment,177687545.0454797,1293083.99306592,1995-01-02
GL ACC,2201900002.0,Part Technical equipment,26067459.90415477,163576.4484281265,1995-01-03
GL ACC,2202000002.0,Technical Equipment Maintenance,25639559.55859859,194977.2040975956,1995-01-04
GL ACC,2200600003.0,Renewal of Computer software,563591794.8313812,3303415.337689762,1995-01-05
GL ACC,2202000004.0,Maintenance of Technical and Office Equipment,477084.3628931079,3755.594510704182,1995-01-06
GRANT TOTAL ZWL,,,1080921523.330859,,1995-01-07
GRANT TOTAL ZWL,,,,,1995-01-08
,,,,7989494.81602907,1995-01-09
GL ACC,2200600002.0,Consumables,337945800.4390071,2510458.639608889,1996-01-01
GL ACC,3112210001.0,ICT Equipment,135384832.3846283,987877.5191708085,1996-01-02
GL ACC,2201900002.0,Part Technical equipment,20536554.57639488,177605.9617346528,1996-01-03
GL ACC,2202000002.0,Technical Equipment Maintenance,28445176.79983615,187356.5989878598,1996-01-04
GL ACC,2200600003.0,Renewal of Computer software,592750256.4485444,3081489.155043952,1996-01-05
GL ACC,2202000004.0,Maintenance of Technical and Office Equipment,417043.6218538412,2939.488801559682,1996-01-06
GRANT TOTAL ZWL,,,902226897.8067681,,1996-01-07
GRANT TOTAL ZWL,,,,,1996-01-08
,,,,6509069.98647353,1996-01-09
GL ACC,2200600002.0,Consumables,360608647.9358438,2013869.853883516,1997-01-01
GL ACC,3112210001.0,ICT Equipment,148143363.8602137,1270167.408692286,1997-01-02
GL ACC,2201900002.0,Part Technical equipment,20836039.45604251,177178.177853615,1997-01-03
GL ACC,2202000002.0,Technical Equipment Maintenance,24623971.9101545,252094.8381233319,1997-01-04
GL ACC,2200600003.0,Renewal of Computer software,514262061.8503997,3112563.987252053,1997-01-05
GL ACC,2202000004.0,Maintenance of Technical and Office Equipment,503710.6002050262,2874.952565411171,1997-01-06
GRANT TOTAL ZWL,,,875037437.0533335,,1997-01-07
GRANT TOTAL ZWL,,,,,1997-01-08
,,,,6392951.518331054,1997-01-09
GL ACC,2200600002.0,Consumables,306014877.2371844,2289070.475132119,1998-01-01
GL ACC,3112210001.0,ICT Equipment,170010111.2832325,1423361.347953111,1998-01-02
GL ACC,2201900002.0,Part Technical equipment,25855443.77798973,191831.2990375907,1998-01-03
GL ACC,2202000002.0,Technical Equipment Maintenance,28392418.12825746,192296.462591089,1998-01-04
GL ACC,2200600003.0,Renewal of Computer software,475379508.0131087,4152258.585808086,1998-01-05
GL ACC,2202000004.0,Maintenance of Technical and Office Equipment,597614.4349972557,3096.3571871785,1998-01-06
GRANT TOTAL ZWL,,,1089260250.244295,,1998-01-07
GRANT TOTAL ZWL,,,,,1998-01-08
,,,,6676774.978141486,1998-01-09
GL ACC,2200600002.0,Consumables,339798085.2280032,2136556.325104535,1999-01-01
